Time	Node	Type	Packets	
11.99	Consumer1	CacheHits	0
11.99	Consumer1	CacheMisses	92
11.99	Node1	CacheHits	10
11.99	Node1	CacheMisses	137
11.99	Node2	CacheHits	3
11.99	Node2	CacheMisses	27
11.99	Node3	CacheHits	0
11.99	Node3	CacheMisses	103
11.99	Node4	CacheHits	5
11.99	Node4	CacheMisses	69
11.99	Node5	CacheHits	5
11.99	Node5	CacheMisses	266
11.99	Node6	CacheHits	1
11.99	Node6	CacheMisses	87
11.99	Node7	CacheHits	8
11.99	Node7	CacheMisses	162
11.99	Node8	CacheHits	7
11.99	Node8	CacheMisses	152
11.99	Node9	CacheHits	2
11.99	Node9	CacheMisses	154
11.99	Node10	CacheHits	4
11.99	Node10	CacheMisses	99
11.99	Node11	CacheHits	6
11.99	Node11	CacheMisses	152
11.99	Node12	CacheHits	0
11.99	Node12	CacheMisses	3
11.99	Node13	CacheHits	2
11.99	Node13	CacheMisses	31
11.99	Node14	CacheHits	5
11.99	Node14	CacheMisses	84
11.99	Node15	CacheHits	5
11.99	Node15	CacheMisses	77
11.99	Node16	CacheHits	4
11.99	Node16	CacheMisses	120
11.99	Node17	CacheHits	0
11.99	Node17	CacheMisses	3
11.99	Node18	CacheHits	0
11.99	Node18	CacheMisses	3
11.99	Node19	CacheHits	0
11.99	Node19	CacheMisses	3
11.99	Node20	CacheHits	2
11.99	Node20	CacheMisses	189
11.99	Node21	CacheHits	3
11.99	Node21	CacheMisses	140
11.99	Node22	CacheHits	1
11.99	Node22	CacheMisses	173
11.99	Node23	CacheHits	0
11.99	Node23	CacheMisses	173
11.99	Node24	CacheHits	3
11.99	Node24	CacheMisses	144
11.99	Node25	CacheHits	8
11.99	Node25	CacheMisses	99
11.99	Node26	CacheHits	0
11.99	Node26	CacheMisses	30
11.99	Node27	CacheHits	10
11.99	Node27	CacheMisses	204
11.99	Node28	CacheHits	0
11.99	Node28	CacheMisses	3
11.99	Node29	CacheHits	0
11.99	Node29	CacheMisses	3
11.99	Node30	CacheHits	0
11.99	Node30	CacheMisses	3
11.99	Node31	CacheHits	0
11.99	Node31	CacheMisses	42
11.99	Node32	CacheHits	22
11.99	Node32	CacheMisses	192
11.99	Node33	CacheHits	26
11.99	Node33	CacheMisses	70
11.99	Node34	CacheHits	0
11.99	Node34	CacheMisses	30
11.99	Node35	CacheHits	0
11.99	Node35	CacheMisses	30
11.99	Node36	CacheHits	0
11.99	Node36	CacheMisses	36
11.99	Node37	CacheHits	0
11.99	Node37	CacheMisses	3
11.99	Producer1	CacheHits	0
11.99	Producer1	CacheMisses	90
11.99	F1a	CacheHits	0
11.99	F1a	CacheMisses	30
11.99	F1b	CacheHits	0
11.99	F1b	CacheMisses	100
11.99	F1c	CacheHits	0
11.99	F1c	CacheMisses	121
11.99	F2a	CacheHits	0
11.99	F2a	CacheMisses	125
11.99	F2b	CacheHits	0
11.99	F2b	CacheMisses	117
11.99	F2c	CacheHits	0
11.99	F2c	CacheMisses	42
11.99	F3a	CacheHits	0
11.99	F3a	CacheMisses	102
11.99	F3b	CacheHits	0
11.99	F3b	CacheMisses	31
11.99	F3c	CacheHits	0
11.99	F3c	CacheMisses	123
11.99	F4a	CacheHits	0
11.99	F4a	CacheMisses	69
11.99	F4b	CacheHits	0
11.99	F4b	CacheMisses	58
11.99	F4c	CacheHits	0
11.99	F4c	CacheMisses	76
11.99	F5a	CacheHits	0
11.99	F5a	CacheMisses	70
11.99	F5b	CacheHits	0
11.99	F5b	CacheMisses	79
11.99	F5c	CacheHits	0
11.99	F5c	CacheMisses	36
11.99	Consumer2	CacheHits	0
11.99	Consumer2	CacheMisses	90
11.99	Consumer3	CacheHits	0
11.99	Consumer3	CacheMisses	90
11.99	Consumer4	CacheHits	0
11.99	Consumer4	CacheMisses	97
11.99	Producer2	CacheHits	0
11.99	Producer2	CacheMisses	79
11.99	Producer3	CacheHits	0
11.99	Producer3	CacheMisses	87
11.99	Producer4	CacheHits	0
11.99	Producer4	CacheMisses	90
