Time	Node	Type	Packets	
11.99	Consumer1	CacheHits	0
11.99	Consumer1	CacheMisses	55
11.99	Node1	CacheHits	26
11.99	Node1	CacheMisses	85
11.99	Node2	CacheHits	2
11.99	Node2	CacheMisses	38
11.99	Node3	CacheHits	9
11.99	Node3	CacheMisses	134
11.99	Node4	CacheHits	4
11.99	Node4	CacheMisses	46
11.99	Node5	CacheHits	18
11.99	Node5	CacheMisses	198
11.99	Node6	CacheHits	6
11.99	Node6	CacheMisses	82
11.99	Node7	CacheHits	11
11.99	Node7	CacheMisses	98
11.99	Node8	CacheHits	13
11.99	Node8	CacheMisses	134
11.99	Node9	CacheHits	9
11.99	Node9	CacheMisses	105
11.99	Node10	CacheHits	18
11.99	Node10	CacheMisses	93
11.99	Node11	CacheHits	11
11.99	Node11	CacheMisses	135
11.99	Node12	CacheHits	0
11.99	Node12	CacheMisses	3
11.99	Node13	CacheHits	7
11.99	Node13	CacheMisses	63
11.99	Node14	CacheHits	6
11.99	Node14	CacheMisses	93
11.99	Node15	CacheHits	7
11.99	Node15	CacheMisses	44
11.99	Node16	CacheHits	2
11.99	Node16	CacheMisses	66
11.99	Node17	CacheHits	0
11.99	Node17	CacheMisses	3
11.99	Node18	CacheHits	0
11.99	Node18	CacheMisses	3
11.99	Node19	CacheHits	0
11.99	Node19	CacheMisses	3
11.99	Node20	CacheHits	9
11.99	Node20	CacheMisses	169
11.99	Node21	CacheHits	9
11.99	Node21	CacheMisses	105
11.99	Node22	CacheHits	13
11.99	Node22	CacheMisses	99
11.99	Node23	CacheHits	1
11.99	Node23	CacheMisses	98
11.99	Node24	CacheHits	8
11.99	Node24	CacheMisses	142
11.99	Node25	CacheHits	4
11.99	Node25	CacheMisses	75
11.99	Node26	CacheHits	3
11.99	Node26	CacheMisses	36
11.99	Node27	CacheHits	11
11.99	Node27	CacheMisses	175
11.99	Node28	CacheHits	0
11.99	Node28	CacheMisses	3
11.99	Node29	CacheHits	0
11.99	Node29	CacheMisses	3
11.99	Node30	CacheHits	0
11.99	Node30	CacheMisses	3
11.99	Node31	CacheHits	2
11.99	Node31	CacheMisses	61
11.99	Node32	CacheHits	12
11.99	Node32	CacheMisses	142
11.99	Node33	CacheHits	25
11.99	Node33	CacheMisses	28
11.99	Node34	CacheHits	6
11.99	Node34	CacheMisses	64
11.99	Node35	CacheHits	3
11.99	Node35	CacheMisses	63
11.99	Node36	CacheHits	4
11.99	Node36	CacheMisses	36
11.99	Node37	CacheHits	0
11.99	Node37	CacheMisses	3
11.99	Producer1	CacheHits	0
11.99	Producer1	CacheMisses	74
11.99	F1a	CacheHits	0
11.99	F1a	CacheMisses	65
11.99	F1b	CacheHits	0
11.99	F1b	CacheMisses	78
11.99	F1c	CacheHits	0
11.99	F1c	CacheMisses	66
11.99	F2a	CacheHits	0
11.99	F2a	CacheMisses	79
11.99	F2b	CacheHits	0
11.99	F2b	CacheMisses	75
11.99	F2c	CacheHits	0
11.99	F2c	CacheMisses	61
11.99	F3a	CacheHits	0
11.99	F3a	CacheMisses	74
11.99	F3b	CacheHits	0
11.99	F3b	CacheMisses	67
11.99	F3c	CacheHits	0
11.99	F3c	CacheMisses	67
11.99	F4a	CacheHits	0
11.99	F4a	CacheMisses	54
11.99	F4b	CacheHits	0
11.99	F4b	CacheMisses	46
11.99	F4c	CacheHits	0
11.99	F4c	CacheMisses	48
11.99	F5a	CacheHits	0
11.99	F5a	CacheMisses	47
11.99	F5b	CacheHits	0
11.99	F5b	CacheMisses	44
11.99	F5c	CacheHits	0
11.99	F5c	CacheMisses	37
11.99	Consumer2	CacheHits	0
11.99	Consumer2	CacheMisses	51
11.99	Consumer3	CacheHits	0
11.99	Consumer3	CacheMisses	41
11.99	Consumer4	CacheHits	0
11.99	Consumer4	CacheMisses	54
11.99	Producer2	CacheHits	0
11.99	Producer2	CacheMisses	57
11.99	Producer3	CacheHits	0
11.99	Producer3	CacheMisses	48
11.99	Producer4	CacheHits	0
11.99	Producer4	CacheMisses	54
11.99	Consumer5	CacheHits	0
11.99	Consumer5	CacheMisses	43
11.99	Consumer6	CacheHits	0
11.99	Consumer6	CacheMisses	48
11.99	Consumer7	CacheHits	0
11.99	Consumer7	CacheMisses	45
11.99	Consumer8	CacheHits	0
11.99	Consumer8	CacheMisses	48
